grzöü|özgür,örgü,özgü,özür,göz
bluuz|buzlu,buzul,bluz,bul,buz
klyöü|köylü,öykü,köy,yük,ölü
efikş|fişek,keşif,şike,fiş,şef
kouğş|koğuş,koşu,koş,kuş,şok
aiklm|ikmal,klima,malik,alim,mil
kouyş|yokuş,koyu,oyuk,koy,yok
lpsuu|puslu,pusu,sulu,ulus,uslu
demnö|dönem,dönme,önem,dön,öde
grtöü|götür,örgüt,örtü,gör,tür
dknöü|dönük,ödün,dök,dük,dün
klouş|koşul,okul,oluk,oluş,loş
akmpu|pamuk,kamp,kamu,kupa,puma
dknou|dokun,donuk,doku,konu,odun
akmoç|çomak,maço,koç,çam,çok
ahips|hapis,sahip,sahi,hap,his
aammt|tamam,mama,ata,mat,tam
bortu|turbo,boru,obur,otur,but
deiyş|deyiş,diye,yedi,diş,şey
dkoru|doruk,koru,okur,ordu,dur
aahpr|harap,arpa,harp,paha,para
ekloy|kolye,okey,kel,yel,yol
ahryı|hayır,hıyar,ahır,ayrı,yarı
aamzç|açmaz,amaç,açma,maça,maç
abkoy|kobay,boya,bay,boa,boy
dmuuy|yudum,duyu,uydu,uyum,uyu
apyış|yapış,ayıp,yapı,pay,yap
akmuç|uçmak,uçak,kaç,kum,çak
abnoy|banyo,onay,oyna,oya,yan
akpyı|kayıp,ayık,kapı,yıka,kap
egnçü|üçgen,genç,geç,gün,güç
aamyç|yamaç,maya,yama,ama,çay
lsuuç|suçlu,uslu,usul,suç,ulu
optuz|otuz,topu,poz,toz,tuz
knouş|konuş,koşun,koşu,koş,şok
akltı|katıl,takıl,katı,takı,tık
knouy|koyun,konu,koyu,oyuk,oyun
ahrzı|hazır,razı,zırh,haz,hız
akçış|kaçış,açık,aşçı,çakı,çık
aamsç|saçma,asma,masa,smaç,saç
aborz|bozar,zorba,baro,zar,zor
klouç|çoklu,okul,oluk,kol,oku
aksçı|sıkça,askı,asık,kısa,ıska
aehps|hesap,sehpa,has,hep,pes
adosy|dosya,oysa,soda,soya,soy
arçğı|çağır,ağrı,ağır,çağ,çığ
ahrsı|hasır,asır,hırs,sarı,sıra
abirz|bariz,biraz,bari,zira,biz
akrçı|kıraç,çıkar,çırak,çark,ırak
abehr|haber,hare,heba,bar,her
aruvy|yavru,uyar,yuva,vay,vur
aaprç|parça,apar,araç,çapa,çarp
eglzö|gözle,göze,özel,gel,göl
antış|tanış,taşın,anıt,atış,taşı
